                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.027297,               0.033325,               0.011966,                      0,                 0.9405,                0.90716,                0.94983,                0.75247,                0.89383,                0.84906,                0.87277,                0.48295,                0.02376,               0.019253,              0.0038277,                      0,               0.070337,              0.0032959,              0.0032959
                      1,               0.028608,               0.034961,                0.01274,                      0,                0.93947,                0.89235,                0.95124,                0.74215,                0.88867,                0.83459,                0.87228,                0.47185,               0.023735,               0.019283,               0.003899,                      0,               0.040307,              0.0065994,              0.0065994
                      2,               0.030037,                0.03421,               0.012239,                      0,                0.94467,                0.88219,                0.94615,                0.71886,                0.86538,                0.80279,                0.82901,                0.42727,               0.024859,               0.022463,              0.0041428,                      0,               0.010247,              0.0098729,              0.0098729
                      3,               0.032662,               0.037505,               0.013929,                      0,                0.91733,                0.86282,                0.93474,                0.70091,                0.85856,                0.76952,                0.80605,                0.39099,               0.025279,               0.023386,              0.0047355,                      0,               0.009865,               0.009865,               0.009865
                      4,               0.032625,               0.038551,               0.013891,                      0,                0.92257,                0.88596,                0.93635,                0.69503,                0.85459,                0.77274,                0.80101,                0.38358,               0.026907,               0.023087,              0.0042757,                      0,               0.009865,               0.009865,               0.009865
                      5,               0.032588,               0.037788,                0.01378,                      0,                 0.9296,                0.87738,                0.93434,                0.68701,                0.85547,                0.80052,                0.81386,                0.40082,               0.026255,               0.023543,              0.0044602,                      0,                0.00982,                0.00982,                0.00982
                      6,               0.033657,               0.037774,               0.014021,                      0,                0.92494,                0.85365,                0.93021,                0.68585,                0.86263,                0.78423,                0.83176,                  0.407,               0.026116,               0.022648,              0.0044637,                      0,               0.009775,               0.009775,               0.009775
                      7,               0.032806,               0.037141,               0.013579,                      0,                 0.9331,                0.87983,                 0.9461,                0.70656,                 0.8589,                0.81291,                0.84648,                0.42899,               0.024892,               0.021371,              0.0042785,                      0,                0.00973,                0.00973,                0.00973
                      8,                0.03242,               0.037108,               0.013635,                      0,                0.90436,                0.88313,                0.94099,                0.66818,                0.82653,                0.79264,                0.80914,                0.39309,               0.027389,               0.022153,              0.0044689,                      0,               0.009685,               0.009685,               0.009685
                      9,               0.031584,               0.037662,               0.013717,                      0,                0.91455,                0.87761,                0.93477,                0.69511,                0.85627,                 0.8001,                0.82493,                 0.4022,               0.024649,               0.023285,              0.0045456,                      0,                0.00964,                0.00964,                0.00964
                     10,               0.032365,               0.038275,                 0.0141,                      0,                0.92403,                0.87512,                0.93928,                0.71359,                0.85777,                0.81008,                0.84318,                0.42688,               0.025695,               0.021458,              0.0043124,                      0,               0.009595,               0.009595,               0.009595
                     11,               0.031974,               0.038094,               0.014096,                      0,                0.93694,                0.90009,                  0.951,                 0.7027,                 0.8806,                0.82139,                0.84028,                0.42431,               0.025587,                 0.0227,              0.0041254,                      0,                0.00955,                0.00955,                0.00955
                     12,                0.03121,                  0.037,               0.013583,                      0,                0.94317,                 0.9072,                0.95778,                0.72099,                0.90456,                0.83075,                0.86944,                0.44872,               0.025246,               0.020935,              0.0041887,                      0,               0.009505,               0.009505,               0.009505
                     13,               0.031462,                0.03732,               0.013774,                      0,                0.91858,                0.87606,                0.94359,                0.70017,                0.87064,                0.82187,                0.86049,                0.44369,               0.025692,               0.020459,              0.0044929,                      0,                0.00946,                0.00946,                0.00946
                     14,               0.031896,               0.036279,               0.013272,                      0,                0.92326,                0.89577,                0.95057,                0.70741,                0.86885,                0.83355,                0.86235,                0.43044,               0.024105,                 0.0205,              0.0041757,                      0,               0.009415,               0.009415,               0.009415
                     15,               0.031628,               0.036833,               0.013368,                      0,                0.93496,                0.90905,                0.95984,                0.72941,                0.86801,                0.83984,                0.85887,                0.44405,               0.024548,               0.019251,              0.0040078,                      0,                0.00937,                0.00937,                0.00937
                     16,                0.03087,               0.035096,               0.013328,                      0,                0.91377,                0.89868,                0.94967,                0.69972,                 0.8537,                0.81762,                0.84573,                 0.4161,               0.024771,               0.021279,              0.0044565,                      0,               0.009325,               0.009325,               0.009325
                     17,               0.031568,               0.035384,               0.012969,                      0,                0.93302,                0.90594,                0.95878,                0.74788,                 0.8893,                0.84041,                0.88138,                0.46906,                0.02315,               0.019288,              0.0039692,                      0,                0.00928,                0.00928,                0.00928
                     18,               0.030905,               0.035309,               0.013623,                      0,                0.94689,                 0.9114,                0.96097,                0.74825,                0.89419,                0.85621,                0.88512,                0.47183,               0.023043,               0.019401,              0.0038863,                      0,               0.009235,               0.009235,               0.009235
                     19,               0.030414,               0.034389,               0.012844,                      0,                 0.9406,                0.90291,                0.96075,                0.71777,                0.90933,                0.86013,                0.89781,                0.48163,               0.023434,               0.019075,              0.0040474,                      0,                0.00919,                0.00919,                0.00919
                     20,                0.03051,               0.035408,                0.01306,                      0,                0.95192,                0.91442,                0.96388,                0.75249,                0.90868,                0.84449,                0.88483,                 0.4811,               0.022265,               0.018337,              0.0037511,                      0,               0.009145,               0.009145,               0.009145
                     21,               0.030932,               0.034089,               0.012984,                      0,                 0.9427,                0.91753,                0.96154,                0.73685,                0.90966,                0.86993,                0.90394,                0.49166,               0.023069,               0.018271,              0.0038666,                      0,                 0.0091,                 0.0091,                 0.0091
                     22,               0.030381,               0.034647,               0.012856,                      0,                0.95183,                 0.9312,                0.97138,                0.75104,                 0.9109,                0.85274,                0.88903,                0.48164,               0.023186,               0.019791,              0.0037949,                      0,               0.009055,               0.009055,               0.009055
                     23,               0.030419,               0.034814,               0.012905,                      0,                 0.9461,                0.92413,                0.96766,                0.74882,                0.91221,                0.86667,                0.90227,                 0.4974,                0.02278,               0.018768,              0.0038948,                      0,                0.00901,                0.00901,                0.00901
